"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.93 0.905608715515984 0.219957657344016
"9" 0.1911 0.94 0.912987472888155 0.222031675280452
"8" 0.1936 0.91 0.916007450477454 0.222928363196136
"7" 0.2079 0.95 0.921000414280849 0.224432960089247
"6" 0.2277 0.94 0.925771878994932 0.226710063549769
"5" 0.2442 0.96 0.934745807282748 0.228560590613931
"4" 0.2666 0.93 0.952066046595178 0.233967750652395
"3" 0.3017 0.95 0.974378742308641 0.23795166614797
"21" 0.3437 0.96 1.0043769664666 0.246885228407254
"2" 0.4091 0.86 1.05880234113114 0.261383574820392
