"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.94 0.910915093461673 0.207858815841558
"9" 0.1911 0.92 0.891782364487079 0.207067664925918
"8" 0.1936 0.95 0.907989520072814 0.208409264919197
"7" 0.2079 0.93 0.89072376991754 0.207866137403257
"6" 0.2277 0.93 0.910635164236637 0.21015204523596
"5" 0.2442 0.94 0.889247878691619 0.208810870076158
"4" 0.2666 0.95 0.90737576899784 0.21254089817289
"3" 0.3017 0.92 0.909283859757438 0.213118152383032
"21" 0.3437 0.98 0.920708501391249 0.218858589798612
"2" 0.4091 0.92 1.00322993589596 0.237492773528214
