"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.92 0.854027912268446 0.202089164130811
"9" 0.1911 0.94 0.845858874319106 0.201335737631758
"8" 0.1936 0.93 0.849690976704374 0.201929335503164
"7" 0.2079 0.94 0.843566596332799 0.202012153205918
"6" 0.2277 0.91 0.844165355143418 0.202881724972631
"5" 0.2442 0.96 0.844223509995188 0.203098798390024
"4" 0.2666 0.97 0.852860775407788 0.205635917020311
"3" 0.3017 0.96 0.861976565028486 0.206885677948358
"21" 0.3437 0.97 0.881340360994428 0.213218378530365
"2" 0.4091 0.93 0.944898590242644 0.229766367809501
