"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.92 0.828387614276961 0.19551832399228
"9" 0.1911 0.95 0.829797990866746 0.196704238972819
"8" 0.1936 0.91 0.835601625365473 0.197802598070901
"7" 0.2079 0.94 0.82608682694504 0.197034965933428
"6" 0.2277 0.93 0.834440254804875 0.199560701197938
"5" 0.2442 0.96 0.834530375657522 0.199785515817867
"4" 0.2666 0.96 0.84631536943039 0.203003864555379
"3" 0.3017 0.97 0.856830995508021 0.204484689752704
"21" 0.3437 0.98 0.878230129854858 0.211298681579719
"2" 0.4091 0.93 0.940356554701759 0.227533371693683
