"censoringrate" "ecp" "eaea" "eaw"
"16" 0.0329 0.97 0.228362903204594 0.225295150411762
"15" 0.0428 0.98 0.229041622096479 0.226480047832005
"14" 0.0572 0.92 0.229764974093861 0.223898381028772
"13" 0.0776 0.96 0.229710271533913 0.222580884456206
"12" 0.1005 0.96 0.229956469574653 0.218554928247694
"11" 0.1186 0.97 0.230206139197923 0.217220948207385
"10" 0.1438 0.95 0.230131736459556 0.213288447778986
"9" 0.1649 0.94 0.231304499916265 0.209573487161129
"8" 0.1922 0.84 0.230251249016888 0.205911227326299
"7" 0.2281 0.73 0.231493744009247 0.197572455046074
"6" 0.2478 0.72 0.232029232079267 0.195893840319373
"5" 0.2774 0.54 0.231241176414829 0.190071565062899
"4" 0.3133 0.33 0.23042775811932 0.18035222791316
"3" 0.3422 0.25 0.227673092953624 0.174327001958444
"21" 0.3769 0.16 0.224607228654855 0.164207009654218
"2" 0.3956 0.23 0.21996773886243 0.161254407298104
