"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.93 0.48073349250734 0.229153456346885
"20" 0.0441 0.94 0.482477301643227 0.229057861967789
"19" 0.049 0.96 0.484583498109194 0.227645229789185
"18" 0.0499 0.94 0.485115369776146 0.225886080793348
"17" 0.0524 0.9 0.482915210304135 0.228597177727989
"16" 0.0648 0.94 0.488472109791576 0.229225631454647
"15" 0.0679 0.96 0.487555948739287 0.233328946336834
"14" 0.0724 0.96 0.491833961096856 0.231956771355343
"13" 0.0828 0.95 0.495447548775906 0.232878724777041
"12" 0.0906 0.97 0.492460471344595 0.233384148282103
"11" 0.1022 0.91 0.504882155850268 0.232414724914551
"10" 0.1163 0.97 0.508975506040404 0.234370784331498
"9" 0.1286 0.93 0.511112534311042 0.234386462403306
"8" 0.1382 0.96 0.513711462096287 0.237786511243797
"7" 0.1598 0.97 0.521619034248018 0.241136971115761
"6" 0.1751 0.94 0.521626232074695 0.242838219434142
"5" 0.1945 0.97 0.534289929903979 0.246811751281283
"4" 0.2285 0.94 0.547951550345169 0.248323516096138
"3" 0.2528 0.97 0.554657007607295 0.255235862349058
"21" 0.2824 0.97 0.577504280706949 0.263210051329621
"2" 0.318 0.94 0.595653443353689 0.268152563684648
