"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.96 0.471580031040324 0.231500708624026
"20" 0.0441 0.96 0.47538616736725 0.231298048728146
"19" 0.049 0.97 0.478937693613421 0.230561560404453
"18" 0.0499 0.98 0.479216187428627 0.229502988039762
"17" 0.0524 0.96 0.475798225734674 0.231148904426459
"16" 0.0648 0.94 0.479237219561291 0.231814948768575
"15" 0.0679 0.99 0.473168101300391 0.234395616645994
"14" 0.0724 0.98 0.480979810439839 0.233848998434109
"13" 0.0828 0.96 0.481114888857313 0.234650591743479
"12" 0.0906 0.99 0.478883341386628 0.234716407269701
"11" 0.1022 0.95 0.491058101076608 0.234707644342638
"10" 0.1163 0.98 0.49414552560314 0.2362808681317
"9" 0.1286 0.97 0.497360212935804 0.236488297881354
"8" 0.1382 0.99 0.494291515319748 0.238977103678747
"7" 0.1598 0.97 0.498419184464374 0.241540609214344
"6" 0.1751 0.96 0.496981138912235 0.242849981253908
"5" 0.1945 0.98 0.507679981760973 0.246079725062973
"4" 0.2285 0.94 0.516841538039297 0.248710100911863
"3" 0.2528 1 0.522491326516471 0.25428674530319
"21" 0.2824 0.99 0.532709092718501 0.260193813249955
"2" 0.318 0.96 0.549026800130989 0.26523107356783
