"censoringrate" "ecp" "eaea" "eaw"
"16" 0.0329 0.98 0.233627125750217 0.231140092563167
"15" 0.0428 0.96 0.232892536636936 0.231828133745821
"14" 0.0572 0.93 0.234680399489582 0.229790361368169
"13" 0.0776 0.96 0.233660224490257 0.228448507630758
"12" 0.1005 0.97 0.234445658186218 0.224994964955232
"11" 0.1186 0.96 0.234901459884769 0.223461372764701
"10" 0.1438 0.9 0.235366923615777 0.219749499045094
"9" 0.1649 0.82 0.236412513270098 0.21626335828898
"8" 0.1922 0.71 0.235520148108087 0.212080404721895
"7" 0.2281 0.53 0.237466733094187 0.204084894236937
"6" 0.2478 0.51 0.237078571431314 0.2016618694765
"5" 0.2774 0.41 0.237523951672413 0.19572335212332
"4" 0.3133 0.18 0.237044938496494 0.1854542547291
"3" 0.3422 0.18 0.235232953831987 0.179020341069914
"21" 0.3769 0.17 0.233296339375448 0.168228425497434
"2" 0.3956 0.2 0.228787264973716 0.165020766805032
