"censoringrate" "ecp" "eaea" "eaw"
"16" 0.0329 0.94 0.220035788067765 0.217299939150646
"15" 0.0428 0.95 0.223887702296384 0.22210568739571
"14" 0.0572 0.91 0.221588711292451 0.218415192456737
"13" 0.0776 0.93 0.222886845580735 0.220561515581146
"12" 0.1005 0.92 0.222929052392323 0.2203273356811
"11" 0.1186 0.94 0.221616071953288 0.219576329594405
"10" 0.1438 0.91 0.22058385817522 0.218621372640496
"9" 0.1649 0.96 0.221078121256326 0.21842711076715
"8" 0.1922 0.92 0.220355374391549 0.218120243325966
"7" 0.2281 0.94 0.220060282079978 0.215133484553676
"6" 0.2478 0.93 0.222239954762459 0.220145610957392
"5" 0.2774 0.94 0.221670621332057 0.218969185408876
"4" 0.3133 0.94 0.222543993363267 0.218807167598885
"3" 0.3422 0.91 0.221149079592977 0.218689807222442
"21" 0.3769 0.93 0.220045802037192 0.217803999778084
"2" 0.3956 0.9 0.220337047004711 0.220285438695849
