"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.92 0.481594772867717 0.232998266679331
"20" 0.0441 0.94 0.485461868069968 0.232735154219609
"19" 0.049 0.93 0.489371521654345 0.232114960481806
"18" 0.0499 0.93 0.489480660527221 0.231071482366148
"17" 0.0524 0.89 0.486075296193457 0.232677294648697
"16" 0.0648 0.93 0.48969199812309 0.233448712011918
"15" 0.0679 0.9 0.48319902953196 0.235911530316468
"14" 0.0724 0.95 0.491508704360377 0.235489864911581
"13" 0.0828 0.92 0.491824398791589 0.236359145497778
"12" 0.0906 0.97 0.489737391205655 0.236382016070602
"11" 0.1022 0.92 0.502529302671465 0.236717635340112
"10" 0.1163 0.95 0.505773509671619 0.238219209536333
"9" 0.1286 0.96 0.509642146953731 0.238617979780219
"8" 0.1382 0.93 0.506418676940097 0.24103358255233
"7" 0.1598 0.95 0.51097430082887 0.243690269287249
"6" 0.1751 0.93 0.509748139796177 0.245195799481983
"5" 0.1945 0.95 0.521322764532677 0.248404498599249
"4" 0.2285 0.93 0.531558941523126 0.251657517814942
"3" 0.2528 0.95 0.537937649282568 0.257192168534075
"21" 0.2824 0.86 0.548737143490406 0.263310177406709
"2" 0.318 0.88 0.566513506366593 0.268497765876556
