"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.92 0.443555602412033 0.214409115098429
"20" 0.0441 0.95 0.444620688782346 0.213792448911428
"19" 0.049 0.96 0.445756355753669 0.213041834947036
"18" 0.0499 0.93 0.447363943662845 0.211826755514766
"17" 0.0524 0.9 0.441617858617476 0.212298755464383
"16" 0.0648 0.94 0.44347205576916 0.212312400474068
"15" 0.0679 0.93 0.438653863572401 0.214336254960335
"14" 0.0724 0.97 0.443360862578688 0.21396889227142
"13" 0.0828 0.94 0.440400152456883 0.212351369511124
"12" 0.0906 0.96 0.44262274775004 0.216101021723923
"11" 0.1022 0.91 0.444920866755663 0.210705082973016
"10" 0.1163 0.94 0.443103168871361 0.20982080519281
"9" 0.1286 0.89 0.441413649512818 0.207307982741507
"8" 0.1382 0.96 0.440256704709286 0.208778606873838
"7" 0.1598 0.93 0.440016253629951 0.207561710677222
"6" 0.1751 0.86 0.43414473112106 0.205353006828029
"5" 0.1945 0.87 0.442027474669839 0.204332878499422
"4" 0.2285 0.76 0.438650100618081 0.197958780793549
"3" 0.2528 0.73 0.437373334486948 0.195635907395756
"21" 0.2824 0.69 0.446241498909659 0.195569888685915
"2" 0.318 0.38 0.45498093226643 0.187326821829865
