"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.94 0.448630172748364 0.211076166978515
"20" 0.0441 0.95 0.449512483842808 0.210353084538532
"19" 0.049 0.96 0.451314887580047 0.209774439337779
"18" 0.0499 0.93 0.452546257109112 0.208899076766088
"17" 0.0524 0.94 0.446710926320262 0.209088334064772
"16" 0.0648 0.96 0.448288811421406 0.20927380827896
"15" 0.0679 0.92 0.443070935279924 0.210889011686244
"14" 0.0724 0.93 0.448404025974507 0.210894683253837
"13" 0.0828 0.95 0.445706746657441 0.209520850003246
"12" 0.0906 1 0.448016745147914 0.212722869748324
"11" 0.1022 0.93 0.450567294692334 0.208528500646462
"10" 0.1163 0.96 0.449033205265705 0.207684928254112
"9" 0.1286 0.96 0.4480959692443 0.205621557671516
"8" 0.1382 0.98 0.446745080568555 0.207114524407823
"7" 0.1598 0.97 0.447272378903361 0.206388246939282
"6" 0.1751 0.89 0.441362291235425 0.204382626921234
"5" 0.1945 0.94 0.450176291569601 0.203889200432584
"4" 0.2285 0.88 0.447169414756655 0.198609109740027
"3" 0.2528 0.88 0.446344676082079 0.196496050424804
"21" 0.2824 0.87 0.455741829708227 0.196882366237819
"2" 0.318 0.72 0.46528311609939 0.189196941029929
